order_id,qty,price,ordered_on,status,notes
ORD-00000057,9,188.39,2026-01-07,paid,ok
ORD-00000058,22,40.18,2026-05-08,new,ok
ORD-00000059,33,236.57,2026-09-15,new,ok
ORD-00000060,28,445.79,2026-02-30,paid,ok
ORD-00000061,4,398.69,2026-06-02,new,ok
ORD-00000062,27,415.12,2026-09-06,paid,ok
ORD-00000063,18,235.43,2026-09-13,void,ok
ORD-00000064,26,27.44,2026-07-16,paid,ok
ORD-00000065,17,19.95,2026-03-06,new,ok
ORD-00000066,37,462.05,2026-09-07,void,ok
ORD-00000067,27,496.94,2026-01-16,new,ok
ORD-00000068,13,43.36,2026-09-07,void,ok
ORD-00000069,26,49.42,2026-05-12,new,ok
ORD-00000070,24,86.33,2026-05-14,paid,ok
ORD-00000071,2,484.97,2026-08-18,paid,ok
ORD-00000072,34,324.37,2026-09-03,paid,ok
ORD-00000073,21,185.05,2026-03-11,paid,ok
ORD-00000074,32,161.97,2026-03-14,paid,ok
ORD-00000075,39,398.62,2026-07-09,paid,ok
ORD-00000076,1,441.01,2026-07-27,void,ok
ORD-00000077,15,164.16,2026-03-19,void,ok
ORD-00000078,25,147.49,2026-02-24,void,ok
ORD-00000079,33,223.26,2026-08-16,paid,ok
ORD-00000080,28,431.55,2026-03-05,PAID,ok
ORD-00000081,10,170.24,2026-03-15,new,ok
ORD-00000082,2,219.83,2026-09-22,void,ok
ORD-00000083,32,302.85,2026-02-03,paid,ok
ORD-00000084,1,56.49,2026-06-13,new,ok
ORD-00000085,37,254.84,2026-09-17,paid,ok
ORD-00000086,4,291.22,2026-03-22,paid,ok
ORD-00000087,15,379.81,2026-03-27,void,ok
ORD-00000088,14,479.32,2026-04-04,new,ok
ORD-00000089,30,275.87,2026-07-28,paid,ok
ORD-00000090,36,326.17,2026-01-11,void,ok
ORD-00000091,10,210.60,2026-03-20,paid,ok
ORD-00000092,19,463.26,2026-08-26,paid,ok
ORD-00000093,33,159.57,2026-08-13,new,ok
ORD-00000094,7,42.65,2026-09-05,new,ok
ORD-00000095,24,63.92,2026-01-25,new,ok
ORD-00000096,7,170.18,2026-01-28,new,ok
ORD-00000097,18,335.60,2026-06-28,new,ok
ORD-00000098,35,43.24,2026-08-18,paid,ok
ORD-00000099,37,380.99,2026-07-18,new,ok
ORD-00000100,18,486.59
ORD-00000101,11,420.46,2026-02-11,void,ok
ORD-00000102,5,496.53,2026-09-25,paid,ok
ORD-00000103,14,467.43,2026-03-20,new,ok
ORD-00000104,35,210.88,2026-08-28,void,ok
ORD-00000105,32,86.27,2026-06-16,paid,ok
ORD-00000106,18,356.46,2026-01-25,void,ok
ORD-00000107,1,358.61,2026-07-10,new,ok
ORD-00000108,20,458.95,2026-07-14,paid,ok
ORD-00000109,3,292.52,2026-03-21,new,ok
ORD-00000110,35,408.06,2026-03-12,paid,ok
ORD-00000111,25,356.50,2026-01-03,paid,ok
ORD-00000112,29,169.91,2026-05-06,void,ok
ORD-00000113,19,75.92,2026-08-02,new,ok
ORD-00000114,2,439.55,2026-03-13,paid,ok
ORD-00000115,11,165.33,2026-05-17,void,ok
ORD-00000116,5,479.23,2026-05-27,void,ok
ORD-00000117,37,73.26,2026-07-15,paid,ok
ORD-00000118,29,108.04,2026-05-23,void,ok
ORD-00000119,31,220.38,2026-02-13,void,ok
,29,151.79,2026-01-10,new,ok
ORD-00000121,15,91.60,2026-09-21,void,ok
ORD-00000122,18,307.10,2026-02-05,void,ok
ORD-00000123,22,442.65,2026-06-27,new,ok
ORD-00000124,10,477.68,2026-02-07,void,ok
ORD-00000125,34,103.90,2026-02-02,paid,ok
ORD-00000126,34,432.78,2026-01-26,void,ok
ORD-00000127,3,237.52,2026-02-08,paid,ok
ORD-00000128,22,1.87,2026-06-15,void,ok
ORD-00000129,13,142.32,2026-09-04,new,ok
ORD-00000130,32,270.93,2026-03-28,paid,ok
ORD-00000131,36,25.55,2026-04-20,new,ok
ORD-00000132,30,81.67,2026-06-19,paid,ok
ORD-00000133,19,252.28,2026-08-14,new,ok
ORD-00000134,7,285.01,2026-08-16,new,ok
ORD-00000135,16,310.57,2026-06-15,paid,ok
ORD-00000136,25,251.72,2026-07-28,new,ok
ORD-00000137,30,367.16,2026-03-12,new,ok
ORD-00000138,30,438.71,2026-05-11,new,ok
ORD-00000139,37,154.50,2026-07-19,new,ok
ORD-00000140,"1,000",345.97,2026-03-08,paid,ok
ORD-00000141,4,291.68,2026-02-15,paid,ok
ORD-00000142,26,178.68,2026-03-03,void,ok
ORD-00000143,22,48.82,2026-07-13,new,ok
ORD-00000144,6,150.75,2026-08-27,paid,ok
ORD-00000145,9,225.90,2026-09-04,void,ok
ORD-00000146,37,393.12,2026-03-12,void,ok
ORD-00000147,29,276.71,2026-06-28,new,ok
ORD-00000148,5,190.29,2026-05-25,void,ok
ORD-00000149,38,354.33,2026-05-15,paid,ok
ORD-00000150,17,278.95,2026-05-04,new,ok
ORD-00000151,28,293.46,2026-02-07,void,ok
ORD-00000152,23,412.72,2026-02-12,new,ok
ORD-00000153,22,73.11,2026-06-04,new,ok
ORD-00000154,32,481.47,2026-09-21,paid,ok
ORD-00000155,27,273.91,2026-08-04,paid,ok
ORD-00000156,29,112.79,2026-02-25,new,ok
ORD-00000157,11,29.34,2026-06-11,new,ok
ORD-00000158,20,27.99,2026-05-16,paid,ok
ORD-00000159,29,168.16,2026-02-16,new,ok
ORD-00000160,17,$324.11,2026-07-23,void,ok
ORD-00000161,3,344.92,2026-09-23,void,ok
ORD-00000162,21,443.80,2026-05-23,new,ok
ORD-00000163,9,330.53,2026-06-26,new,ok
ORD-00000164,32,376.14,2026-04-28,void,ok
ORD-00000165,14,70.85,2026-08-28,void,ok
ORD-00000166,18,251.57,2026-06-26,void,ok
ORD-00000167,15,327.41,2026-01-03,new,ok
ORD-00000168,21,367.09,2026-01-17,void,ok
ORD-00000169,1,52.81,2026-09-03,void,ok
ORD-00000170,18,358.81,2026-07-06,void,ok
ORD-00000171,10,240.28,2026-02-08,void,ok
ORD-00000172,11,296.84,2026-08-17,new,ok
ORD-00000173,14,161.07,2026-03-11,new,ok
ORD-00000174,36,483.27,2026-08-08,paid,ok
ORD-00000175,26,116.67,2026-01-12,void,ok
ORD-00000176,4,196.68,2026-09-05,new,ok
ORD-00000177,40,126.74,2026-08-19,void,ok
ORD-00000178,35,68.81,2026-04-20,paid,ok
ORD-00000179,20,387.75,2026-03-08,new,ok
ORD-00000180,10,323.47,2026-02-30,new,ok
ORD-00000181,8,443.58,2026-03-06,new,ok
ORD-00000182,3,23.73,2026-05-10,new,ok
ORD-00000183,39,429.51,2026-09-28,new,ok
ORD-00000184,14,385.43,2026-05-13,new,ok
ORD-00000185,38,473.10,2026-04-23,paid,ok
ORD-00000186,33,483.06,2026-03-07,void,ok
ORD-00000187,23,118.05,2026-04-10,new,ok
ORD-00000188,6,476.87,2026-02-12,new,ok
ORD-00000189,37,271.76,2026-09-23,void,ok
ORD-00000190,34,466.68,2026-07-10,new,ok
ORD-00000191,37,73.19,2026-02-18,paid,ok
ORD-00000192,6,271.74,2026-06-16,paid,ok
ORD-00000193,35,44.72,2026-09-21,paid,ok
ORD-00000194,10,14.74,2026-02-21,void,ok
ORD-00000195,30,141.13,2026-09-04,paid,ok
ORD-00000196,39,115.71,2026-07-06,paid,ok
ORD-00000197,37,146.73,2026-03-04,new,ok
ORD-00000198,26,108.55,2026-03-23,paid,ok
ORD-00000199,4,386.68,2026-05-28,paid,ok
ORD-00000200,32,58.23,2026-03-18,PAID,ok
